filename,jamming_detected,jamming_event_count,jam_state_0_unknown,jam_state_1_ok,jam_state_2_warn,jam_state_3_crit,agc_mean,agc_std,agc_min,agc_q1,agc_median,agc_q3,agc_max
dan_20250227.ubx,False,0,0,86395,0,0,7865.762636726662,1769.4667888448976,132.0,7314.0,8087.0,8850.0,65437.0
dan_20250228.ubx,False,0,0,86397,0,0,7949.907577809415,1919.034492892966,111.0,7318.0,8337.0,8852.0,65437.0
dan_20250301.ubx,False,0,0,86398,0,0,8062.634956827705,1820.6616072337968,116.0,7570.0,8339.0,9074.0,65435.0
dan_20250302.ubx,True,133,0,86261,133,0,8167.90832696715,1853.3416779250722,107.0,7574.0,8341.0,9104.0,65432.0
dan_20250303.ubx,True,111,0,86285,111,0,8089.500810222696,1891.4643307155911,138.0,7572.0,8339.0,8853.0,65434.0
dan_20250304.ubx,True,52,0,86344,52,0,8241.439094402518,1266.1606199035375,137.0,7827.0,8344.0,9077.0,65431.0
dan_20250305.ubx,False,0,0,86395,0,0,8313.12875745124,1240.804532410678,113.0,7828.0,8594.0,9106.0,65434.0
dan_20250306.ubx,False,0,0,86396,0,0,8301.356243344599,1285.6459965681358,122.0,7827.0,8594.0,9107.0,65430.0
dan_20250307.ubx,False,0,0,86396,0,0,8306.913167276263,1436.959359072103,142.0,7827.0,8594.0,9107.0,65427.0
dan_20250308.ubx,False,0,0,86394,0,0,8289.075734426002,1500.4643557420284,145.0,7827.0,8592.0,9106.0,65422.0
dan_20250309.ubx,False,0,0,86393,0,0,8293.520539858553,1222.0181266756176,119.0,7827.0,8590.0,9105.0,65425.0
dan_20250310.ubx,False,0,0,86395,0,0,8256.515747439087,1194.3385032221058,137.0,7826.0,8343.0,9095.0,65427.0
dan_20250311.ubx,False,0,0,86395,0,0,8218.928271311997,1308.072025864877,106.0,7824.0,8341.0,8858.0,65431.0
dan_20250312.ubx,False,0,0,86396,0,0,8242.054261771378,1318.6400676303606,142.0,7825.0,8345.0,9092.25,65430.0
dan_20250313.ubx,False,0,0,86396,0,0,8257.47135284041,1275.882178072722,138.0,7825.0,8589.0,9104.0,65429.0
dan_20250314.ubx,True,17,0,86379,17,0,8071.744177971203,1705.4185498603958,108.0,7570.0,8338.0,8852.0,65435.0
dan_20250315.ubx,True,1509,0,84887,1509,0,8100.5290869947685,1618.182822880533,132.0,7572.0,8338.0,8852.0,65442.0
dan_20250316.ubx,True,446,0,85948,446,0,8054.426522675186,1356.9496345555297,104.0,7569.0,8335.0,8850.0,65426.0
dan_20250317.ubx,True,4775,0,81619,4775,0,7953.76926638424,1678.2367243106514,118.0,7564.0,8092.0,8849.0,65431.0
dan_20250318.ubx,True,163,0,86233,163,0,8064.405250243067,1595.2808579513887,130.0,7569.0,8336.0,8851.0,65428.0
dan_20250319.ubx,True,46,0,86350,46,0,8205.727985091902,1532.1727360101222,140.0,7574.0,8341.0,9103.0,65429.0
dan_20250320.ubx,True,13041,0,73356,13041,0,8218.377165873815,1465.060211983833,133.0,7822.0,8581.0,9103.0,65430.0
dan_20250321.ubx,True,11965,0,74429,11965,0,8136.75695071417,1660.8442380737806,112.0,7570.0,8341.0,9102.0,65438.0
dan_20250322.ubx,True,4288,0,82107,4288,0,8326.21883210834,1775.4764785458003,104.0,7823.0,8591.0,9106.0,65432.0
dan_20250323.ubx,True,9915,0,76479,9915,0,8340.209540014353,1699.6380828428942,138.0,7822.0,8590.0,9109.0,65429.0
dan_20250324.ubx,True,34994,0,51401,34994,0,8318.383343943515,1572.0540057996425,135.0,7821.0,8590.0,9106.0,65424.0
dan_20250325.ubx,True,11144,0,75251,11144,0,8478.656785693616,1590.5772048340918,131.0,8032.0,8841.0,9358.0,65425.0
dan_20250326.ubx,True,5102,0,81294,5102,0,8509.387228575397,1728.1735342226418,128.0,7840.0,8843.0,9360.0,65424.0
dan_20250327.ubx,True,5415,0,80982,5415,0,8574.581883630219,1610.595575028407,133.0,8077.0,8845.0,9360.0,65424.0
dan_20250328.ubx,True,538,0,85858,538,0,8537.76623917774,1809.0127418669467,130.0,8075.0,8845.0,9361.0,65431.0
dan_20250329.ubx,True,2777,0,83618,2777,0,8492.640662075351,1797.7132197956578,102.0,7825.0,8842.0,9359.0,65431.0
dan_20250330.ubx,True,8182,0,78216,8182,0,8558.09479386097,1775.6013395700738,123.0,8077.0,8845.0,9360.0,65431.0
dan_20250331.ubx,True,3304,0,83092,3304,0,8479.77501273207,1729.1484649736299,123.0,8035.0,8842.0,9359.0,65428.0
dan_20250401.ubx,True,1688,0,84707,1688,0,8453.731442791828,1747.5362531961066,103.0,7825.0,8838.0,9358.0,65432.0
dan_20250402.ubx,True,3680,0,82714,3680,0,8378.317452600875,1857.943637763108,109.0,7822.0,8593.0,9357.0,65430.0
dan_20250403.ubx,True,5299,0,81096,5299,0,8365.732820186353,1577.9457634286684,104.0,7822.0,8592.0,9355.0,65428.0
dan_20250404.ubx,True,2420,0,83977,2420,0,8383.488651226317,1921.0847603727707,117.0,7824.0,8594.0,9357.0,65429.0
dan_20250405.ubx,True,3611,0,82783,3611,0,8480.137451674886,1728.0859318123375,140.0,8077.0,8844.0,9359.0,65457.0
dan_20250406.ubx,True,3978,0,82418,3978,0,8361.224142321404,1963.5421872681125,101.0,7823.0,8591.0,9106.0,65427.0
dan_20250407.ubx,True,821,0,85576,821,0,8393.377200597242,1698.869895559409,137.0,7826.0,8592.0,9330.0,65427.0
dan_20250408.ubx,True,488,0,85908,488,0,8313.519456919303,1880.5748309310172,103.0,7822.0,8591.0,9106.0,65434.0
dan_20250409.ubx,True,334,0,86062,334,0,8329.709569887495,1909.083219665701,130.0,7824.0,8592.0,9106.0,65437.0
dan_20250410.ubx,True,161,0,86232,161,0,8144.026240551897,1768.0944034247632,141.0,7572.0,8339.0,9097.0,65434.0
dan_20250411.ubx,True,86,0,86309,86,0,8087.261519763875,1538.4210102784982,107.0,7569.0,8338.0,8852.0,65440.0
dan_20250412.ubx,False,0,0,86394,0,0,8069.366472208718,1541.3434889881346,113.0,7569.0,8338.0,8853.0,65430.0
dan_20250413.ubx,True,147,0,86248,147,0,8301.846831413855,1639.0839014520277,139.0,7823.0,8592.0,9107.0,65428.0
dan_20250414.ubx,True,241,0,86153,241,0,8401.798770747968,1541.7789617479896,129.0,7825.0,8593.0,9352.0,65436.0
dan_20250415.ubx,True,123,0,86269,123,0,8428.011841374202,1746.379042730443,134.0,7830.0,8594.0,9356.0,65427.0
dan_20250416.ubx,True,171,0,86223,171,0,8072.89333750029,1800.6001089122558,111.0,7569.0,8337.0,8853.0,65432.0
dan_20250417.ubx,True,14,0,86382,14,0,8153.102273253391,1584.267045787727,109.0,7573.0,8338.0,8858.0,65427.0
dan_20250418.ubx,True,5,0,82790,5,0,8121.807947339816,1678.129450865884,110.0,7570.0,8341.0,9103.0,65432.0
dan_20250419.ubx,True,16,0,86378,16,0,8432.258837419266,1857.7204306494111,108.0,8074.0,8840.0,9358.0,65429.0
dan_20250420.ubx,True,1,0,86395,1,0,8544.536297976758,1810.88828785794,114.0,8081.0,8847.0,9360.0,65431.0
dan_20250421.ubx,True,1,0,86393,1,0,8608.041380188439,1671.5345421474026,119.0,8085.0,8848.0,9361.0,65426.0
dan_20250422.ubx,True,190,0,86205,190,0,8405.456149082702,1728.966034478097,103.0,7827.0,8595.0,9357.0,65434.0
dan_20250423.ubx,False,0,0,86396,0,0,8289.83293208019,1662.2557792143175,107.0,7821.0,8591.0,9114.0,65427.0
dan_20250424.ubx,True,16,0,44046,16,0,8433.597294721076,1525.1068473429827,140.0,8071.0,8595.0,9356.0,65427.0
